name,health_amenity_type,amenity,healthcare,operator,operational_status,beds,longitude,latitude,adm2_pcode,district,facility_type
کۆگای دەرمانی نیسا,,pharmacy,pharmacy,,,,44.3522194184001,36.4127679958497,IQG11Q06,Shaqlawa,pharmacy
د. ئیحسان موحەمەد عەلی,,doctors,doctor,,,,44.0369483797637,36.2001531428645,IQG11Q02,Erbil,doctors
Dr. Zardasht Haji Khalil,,dentist,dentist,Dr. Zardasht Haji Khalil,,,44.0048737699848,36.1949924888996,IQG11Q02,Erbil,dentist
صيدلية لاولاس,,pharmacy,pharmacy,,,,44.0408383372075,36.1878869819413,IQG11Q02,Erbil,pharmacy
دەرمانخانەی داهاتوو,,pharmacy,pharmacy,,,,44.0361980317916,36.1578762481808,IQG11Q02,Erbil,pharmacy
نەخۆشخانەی جۆلەمێرگ,,pharmacy,,,,,44.3572120990254,36.6033653493977,IQG11Q05,Rawanduz,pharmacy
کۆمەڵگای پزیشکی ڕەحمە,,clinic,clinic,,,,44.032805037387,36.2016105881883,IQG11Q02,Erbil,clinic
مختبر بيرفكت لصناعة اسنان,,dentist,,,,,44.0333103823293,36.1963703899623,IQG11Q02,Erbil,dentist
‌Harir Hospital,,hospital,,,,,44.3487008630859,36.5468093797437,IQG11Q06,Shaqlawa,hospital
الدكتور وليد سرحان,,clinic,,,,,43.9876177782834,36.2060649829918,IQG11Q02,Erbil,clinic
,,pharmacy,pharmacy,,,,44.0549032545517,36.1923590625605,IQG11Q02,Erbil,pharmacy
Dr. Srud Kamal,,clinic,,,,,44.0355878292406,36.2113942808485,IQG11Q02,Erbil,clinic
دکتۆر هەژیر,,dentist,dentist,,,,44.0584605342586,36.121871783099,IQG11Q02,Erbil,dentist
,,pharmacy,pharmacy,,,,44.0475517387353,36.1328991825521,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0009801245036,36.1691049809482,IQG11Q02,Erbil,pharmacy
بنکەی تەندروستی دیانا,,hospital,,,,,44.5435917627155,36.6647093974204,IQG11Q05,Rawanduz,hospital
د. موستەفا عوسمان,,clinic,clinic,,,,44.0361870514985,36.1979977364634,IQG11Q02,Erbil,clinic
,,pharmacy,pharmacy,,,,44.0036161492326,36.1753202459704,IQG11Q02,Erbil,pharmacy
سەنتەری هەریر میدیکا,,clinic,,,,,44.3488774697857,36.5456971850116,IQG11Q06,Shaqlawa,clinic
,,pharmacy,pharmacy,,,,44.0772200717512,36.156962956011,IQG11Q02,Erbil,pharmacy
نەخۆشخانەی چۆمان,,hospital,hospital,,,,44.8873180215214,36.6363300334746,IQG11Q05,Rawanduz,hospital
الدكتور احسان كريم الشمري,,doctors,doctor,,,,44.0349211326622,36.2023157577023,IQG11Q02,Erbil,doctors
نۆڕینگەی,,pharmacy,pharmacy,,,,43.9968585750751,36.1661629329343,IQG11Q02,Erbil,pharmacy
دەرمانخانەی گوڵناز,,pharmacy,pharmacy,,,,44.0211592211177,36.1244589413325,IQG11Q02,Erbil,pharmacy
دەرمانخانەی بۆنی گوڵ,,pharmacy,pharmacy,,,,44.051193088931,36.1251018333059,IQG11Q02,Erbil,pharmacy
,,doctors,,,,,43.9890485691551,36.204787161853,IQG11Q02,Erbil,doctors
,,doctors,doctor,,,,44.0359472452487,36.2002561564545,IQG11Q02,Erbil,doctors
د.جنكي شوكت سالةيي,,doctors,doctor,,,,44.0005098997356,36.2024044382379,IQG11Q02,Erbil,doctors
,,pharmacy,pharmacy,,,,44.0771502504978,36.1593921991888,IQG11Q02,Erbil,pharmacy
,,pharmacy,,,,,44.1004115405468,36.1553117210858,IQG11Q02,Erbil,pharmacy
دکتورە کافیا رسول حمە,,clinic,,,,,44.0142470846657,36.2139532758874,IQG11Q02,Erbil,clinic
,,hospital,,,,,44.3353596392617,35.9364910746291,IQG11Q03,Koysinjaq,hospital
,,pharmacy,pharmacy,,,,44.0772059901539,36.1158851763954,IQG11Q02,Erbil,pharmacy
سەرکەوت خۆشناو,,clinic,clinic,,,,44.0262536580476,36.1830641186743,IQG11Q02,Erbil,clinic
,,pharmacy,,,,,43.9701704277326,36.1725578221415,IQG11Q02,Erbil,pharmacy
,,pharmacy,,,,,43.9764884548877,36.1532515331048,IQG11Q02,Erbil,pharmacy
,,pharmacy,,,,,44.5359417673271,36.6546059351541,IQG11Q05,Rawanduz,pharmacy
,,doctors,,,,,44.0361506740387,36.2117796807565,IQG11Q02,Erbil,doctors
دازلینگ سمایل سینتر. د.مەریوان حمید حمدان,,dentist,,,,,44.040527871514,36.1884887187701,IQG11Q02,Erbil,dentist
,,hospital,hospital,,,,44.2251943580145,36.39601047593,IQG11Q06,Shaqlawa,hospital
دکتۆر عبدالصبور احمد حسێن,,clinic,,,,,44.0091321958921,36.1763904473676,IQG11Q02,Erbil,clinic
صلیب احمر,,hospital,,,,,43.9748644611478,36.1458552579255,IQG11Q02,Erbil,hospital
,,pharmacy,pharmacy,,,,43.9935890461042,36.2302163473389,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0582269306171,36.1214251952979,IQG11Q02,Erbil,pharmacy
دەرمانخانەی هاژەی فورات,,pharmacy,pharmacy,,,,44.0621222524789,36.2020811482325,IQG11Q02,Erbil,pharmacy
مستشفی حجي قاسم,,hospital,,,,,44.0193272723601,36.2821363701666,IQG11Q02,Erbil,hospital
پزیشکانی بێ سنور,,doctors,,,,,44.0306830747796,36.2115587337888,IQG11Q02,Erbil,doctors
تاقیگەی پزیشکی ئەلفا,,,laboratory,,,,44.0420566468338,36.1921619201979,IQG11Q02,Erbil,laboratory
سۆزی,,clinic,,,,,44.1202756452397,36.1545797294817,IQG11Q02,Erbil,clinic
,,pharmacy,pharmacy,,,,44.0657534605718,36.1183056185748,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.03238233801,36.155763840943,IQG11Q02,Erbil,pharmacy
د. کامەران کەریم شێخانی,,doctors,doctor,,,,44.0144019822363,36.2138581412864,IQG11Q02,Erbil,doctors
دەرمانخانەی لیا,,pharmacy,pharmacy,,,,44.0207582308699,36.1244476257632,IQG11Q02,Erbil,pharmacy
,,pharmacy,,,,,43.9740406877039,36.168475919115,IQG11Q02,Erbil,pharmacy
شەقایق,,pharmacy,,,,,44.120495837836,36.1501171204131,IQG11Q02,Erbil,pharmacy
کلینیک دکتۆر ئەیاد فەرەج,,hospital,hospital,,,,44.0051684777004,36.1946494176027,IQG11Q02,Erbil,hospital
Emergency Erbil Hospital,,hospital,hospital,,,,43.9975015508676,36.199803282226,IQG11Q02,Erbil,hospital
,,pharmacy,,,,,44.05259814736,36.1860700367904,IQG11Q02,Erbil,pharmacy
شەقامی پزیشکان,,pharmacy,pharmacy,,,,44.0047876878392,36.1953258371888,IQG11Q02,Erbil,pharmacy
بنكەی تەندروستی,,hospital,hospital,,,,43.5754943513913,35.7746177488854,IQG11Q04,Makhmour,hospital
شركة ومذخر شمالك,,pharmacy,pharmacy,,,,44.0061069993987,36.1967471565099,IQG11Q02,Erbil,pharmacy
بنکەی تەندروستی شەهیدان,,hospital,hospital,,,,44.0244730903564,36.1822347293553,IQG11Q02,Erbil,hospital
مساج ريتاريو اربيل,,clinic,clinic,,,,43.9851414288098,36.2142696927322,IQG11Q02,Erbil,clinic
نۆرینگەی هیوا,,clinic,clinic,,,,44.0452837633746,36.1246412477265,IQG11Q02,Erbil,clinic
دەرمانخانەی خونچەی بەهار,,pharmacy,pharmacy,,,,44.0214090856513,36.2168644784977,IQG11Q02,Erbil,pharmacy
دەرمانخانەی کاوە,,pharmacy,pharmacy,,,,44.0012971280816,36.1744590892383,IQG11Q02,Erbil,pharmacy
نۆرینگەی دکتۆر یادگار شوانی,,clinic,clinic,,,,44.0360058347519,36.1946929196802,IQG11Q02,Erbil,clinic
تاقیگەی پزیشکیی بێست,,clinic,clinic,,,,44.0050191960049,36.1948032255259,IQG11Q02,Erbil,clinic
صيدلية رةوةز,,pharmacy,,,,,44.0268851506326,36.1881642552983,IQG11Q02,Erbil,pharmacy
بلة هةيبةت,,clinic,,,,,44.1779769181433,36.5897979818259,IQG11Q06,Shaqlawa,clinic
Pharmacy Chra,,hospital,hospital,,,,43.9585150560937,36.188139696322,IQG11Q02,Erbil,hospital
دەرمانخانەی ڕووناکی بەیار,,pharmacy,pharmacy,,,,44.0052537216557,36.1742987434306,IQG11Q02,Erbil,pharmacy
د هيثم غنام,,clinic,clinic,,,,44.0040398544381,36.1953247475414,IQG11Q02,Erbil,clinic
صیدلیة ریبوار,,pharmacy,,,,,44.588403680195,35.8882697342147,IQG11Q03,Koysinjaq,pharmacy
سەنتەری دکتۆر هۆشەنگ بۆ پزیشکی ددان,,dentist,dentist,,,,44.0302338885885,36.3117108258669,IQG11Q02,Erbil,dentist
دەرمانخانەی نوور,,pharmacy,,,,,44.5856196310559,35.8856751999064,IQG11Q03,Koysinjaq,pharmacy
بنکەی تەندروستی جوندیان,,hospital,,,,,44.57642853895,36.6289530366726,IQG11Q05,Rawanduz,hospital
چاودێری چڕی منداڵان,,hospital,,,,,44.0354099652553,36.2180913376652,IQG11Q02,Erbil,hospital
نۆرینگەی خەندەی هەولێر,,clinic,clinic,,,,44.0362742232915,36.1953563473163,IQG11Q02,Erbil,clinic
,,hospital,,,,,44.0775568566207,36.2476393903705,IQG11Q02,Erbil,hospital
نەخۆشخانەی سەلامەتی کوردستان,,hospital,hospital,,,,44.0169448840211,36.202779863681,IQG11Q02,Erbil,hospital
,,pharmacy,,,,,44.0007102272214,36.1731542783713,IQG11Q02,Erbil,pharmacy
